id,parent,children,a_plus,conect,Tsim,Tdsim,pos,name,
,302,[2],"[780, 2293, 2396, 2590, 2607, 688, 2365, 2386]",288,True,0.81,1.0,2,sports-watch465,
,780,[302],[],288,True,0.7290000000000001,1.5,302,sports-watch581,
,2293,[302],[],780,True,0.7290000000000001,1.5,302,sports-watch301,
,2396,[302],[],780,True,0.81,1.0,302,sports-watch361,
,2590,[302],[],2396,True,0.81,1.0,302,sports-watch132,
,2607,[302],[],780,True,0.81,1.0,302,sports-watch369,
,688,[302],[],2607,True,0.81,1.0,302,sports-watch842,
,2365,[302],[],2396,True,0.81,1.0,302,sports-watch236,
,2386,[302],[],688,True,0.81,1.0,302,sports-watch861,
,408,[2],"[1376, 1994, 2004, 2443, 1938, 2155]",288,True,0.81,1.0,2,sports-watch159,
,1376,[408],[],302,True,0.81,1.0,408,sports-watch568,
,1994,[408],[],1376,True,0.7290000000000001,1.5,408,kaden-channel692,
,2004,[408],[],1994,True,0.81,1.0,408,sports-watch371,
,2443,[408],[],1376,True,0.81,1.0,408,sports-watch364,
,1938,[408],[],2004,True,0.81,1.0,408,sports-watch269,
,2155,[408],[],1938,True,0.7290000000000001,1.5,408,sports-watch31,
,3,[1],"[78, 117, 143, 175, 179, 213, 241, 293, 360, 411]",2,True,0.81,1.0,1,kaden-channel694,
,78,[3],"[603, 1677, 2247, 2351, 2417, 937, 2279, 1768, 1945]",5,True,0.81,1.0,3,sports-watch376,
,603,[78],[],179,True,0.7290000000000001,1.5,78,sports-watch676,
,1677,[78],[],603,True,0.81,1.0,78,sports-watch229,
,2247,[78],[],1677,True,0.7290000000000001,1.5,78,sports-watch108,
,2351,[78],[],1677,True,0.81,1.0,78,sports-watch300,
,2417,[78],[],1677,True,0.81,1.0,78,sports-watch695,
,937,[78],[],2351,True,0.81,1.0,78,sports-watch483,
,2279,[78],[],1677,True,0.81,1.0,78,sports-watch34,
,1768,[78],[],1677,True,0.81,1.0,78,sports-watch675,
,1945,[78],[],2351,True,0.81,1.0,78,sports-watch643,
,117,[3],"[735, 771, 1145, 1181, 747, 2231, 1595]",78,True,0.81,1.0,3,sports-watch538,
,735,[117],[],78,True,0.7290000000000001,1.5,117,sports-watch200,
,771,[117],[],735,True,0.81,1.0,117,sports-watch749,
,1145,[117],[],735,True,0.7290000000000001,1.5,117,sports-watch639,
,1181,[117],[],735,True,0.81,1.0,117,sports-watch845,
,747,[117],[],735,True,0.7290000000000001,1.5,117,sports-watch780,
,2231,[117],[],747,True,0.81,1.0,117,sports-watch491,
,1595,[117],[],1181,True,0.81,1.0,117,kaden-channel618,
,143,[3],"[613, 630, 1114, 2167, 2277, 2569, 330, 2357, 1875]",117,True,0.81,1.0,3,sports-watch330,
,613,[143],[],411,True,0.81,1.0,143,sports-watch181,
,630,[143],[],613,True,0.81,1.0,143,sports-watch849,
,1114,[143],[],613,True,0.81,1.0,143,kaden-channel528,
,2167,[143],[],613,True,0.81,1.0,143,sports-watch549,
,2277,[143],[],2167,True,0.81,1.0,143,sports-watch252,
,2569,[143],[],613,True,0.81,1.0,143,sports-watch258,
,330,[143],[],630,True,0.81,1.0,143,sports-watch449,
,2357,[143],[],1114,True,0.81,1.0,143,sports-watch808,
,1875,[143],[],2569,True,0.81,1.0,143,sports-watch418,
,175,[3],"[607, 985, 1334, 1614, 884, 1543, 1492]",78,True,0.81,1.0,3,sports-watch235,
,607,[175],[],78,True,0.81,1.0,175,sports-watch817,
,985,[175],[],607,True,0.81,1.0,175,kaden-channel591,
,1334,[175],[],607,True,0.7290000000000001,1.5,175,sports-watch543,
,1614,[175],[],985,True,0.7290000000000001,1.5,175,sports-watch53,
,884,[175],[],1614,True,0.81,1.0,175,sports-watch213,
,1543,[175],[],985,True,0.81,1.0,175,sports-watch412,
,1492,[175],[],884,True,0.81,1.0,175,sports-watch134,
,179,[3],"[647, 1727, 1804, 1995, 1766, 2262, 867]",78,True,0.81,1.0,3,sports-watch230,
,647,[179],[],175,True,0.81,1.0,179,sports-watch227,
,1727,[179],[],647,True,0.81,1.0,179,sports-watch172,
,1804,[179],[],647,True,0.7290000000000001,1.5,179,sports-watch563,
,1995,[179],[],1727,True,0.81,1.0,179,sports-watch33,
,1766,[179],[],647,True,0.7290000000000001,1.5,179,sports-watch141,
,2262,[179],[],1804,True,0.7290000000000001,1.5,179,sports-watch66,
,867,[179],[],2262,True,0.7290000000000001,1.5,179,sports-watch40,
,213,[3],"[579, 1587, 2616, 536, 2249, 1718, 2026]",143,True,0.81,1.0,3,sports-watch67,
,579,[213],[],78,True,0.7290000000000001,1.5,213,sports-watch644,
,1587,[213],[],579,True,0.7290000000000001,1.5,213,sports-watch296,
,2616,[213],[],1587,True,0.7290000000000001,1.5,213,sports-watch111,
,536,[213],[],1587,True,0.81,1.0,213,sports-watch717,
,2249,[213],[],536,True,0.81,1.0,213,sports-watch417,
,1718,[213],[],536,True,0.7290000000000001,1.5,213,sports-watch289,
,2026,[213],[],2249,True,0.81,1.0,213,sports-watch170,
,241,[3],"[1696, 2002, 362, 1234, 2565]",143,True,0.81,1.0,3,sports-watch473,
,1696,[241],[],78,True,0.81,1.0,241,kaden-channel858,
,2002,[241],[],1696,True,0.81,1.0,241,kaden-channel423,
,362,[241],[],2002,True,0.7290000000000001,1.5,241,sports-watch522,
,1234,[241],[],362,True,0.81,1.0,241,sports-watch52,
,2565,[241],[],2002,True,0.7290000000000001,1.5,241,sports-watch194,
,293,[3],"[417, 829, 1005, 1314, 1657, 2473, 1867]",143,True,0.81,1.0,3,sports-watch653,
,417,[293],[],213,True,0.7290000000000001,1.5,293,sports-watch266,
,829,[293],[],417,True,0.7290000000000001,1.5,293,sports-watch595,
,1005,[293],[],829,True,0.81,1.0,293,sports-watch332,
,1314,[293],[],1005,True,0.81,1.0,293,sports-watch277,
,1657,[293],[],1005,True,0.81,1.0,293,sports-watch697,
,2473,[293],[],1657,True,0.81,1.0,293,sports-watch683,
,1867,[293],[],1314,True,0.7290000000000001,1.5,293,sports-watch162,
,360,[3],"[1572, 2062, 2264, 2577, 105, 2359, 2624, 712]",78,True,0.81,1.0,3,kaden-channel772,
,1572,[360],[],78,True,0.81,1.0,360,sports-watch311,
,2062,[360],[],1572,True,0.81,1.0,360,sports-watch645,
,2264,[360],[],2062,True,0.7290000000000001,1.5,360,sports-watch122,
,2577,[360],[],1572,True,0.7290000000000001,1.5,360,sports-watch243,
,105,[360],[],1572,True,0.7290000000000001,1.5,360,sports-watch188,
,2359,[360],[],1572,True,0.81,1.0,360,sports-watch82,
,2624,[360],[],2359,True,0.81,1.0,360,sports-watch801,
,712,[360],[],2062,True,0.7290000000000001,1.5,360,sports-watch727,
,411,[3],"[463, 1138, 1520, 1941, 2124, 51, 1861, 144]",143,True,0.81,1.0,3,sports-watch855,
,463,[411],[],179,True,0.7290000000000001,1.5,411,sports-watch834,
,1138,[411],[],463,True,0.7290000000000001,1.5,411,sports-watch504,
,1520,[411],[],463,True,0.81,1.0,411,sports-watch131,
,1941,[411],[],1138,True,0.81,1.0,411,sports-watch353,
,2124,[411],[],463,True,0.7290000000000001,1.5,411,sports-watch608,
,51,[411],[],1941,True,0.7290000000000001,1.5,411,sports-watch184,
,1861,[411],[],463,True,0.7290000000000001,1.5,411,sports-watch286,
,144,[411],[],2124,True,0.7290000000000001,1.5,411,sports-watch120,
,4,[1],"[20, 136, 221, 271, 423, 467, 516, 535, 601, 912]",2,True,0.81,1.0,1,movie-enter519,
,20,[4],"[1329, 1593, 1831, 149, 1648, 395, 1097, 1709]",5,True,0.81,1.0,4,sports-watch618,
,1329,[20],[],423,True,0.7290000000000001,1.5,20,sports-watch732,
,1593,[20],[],1329,True,0.81,1.0,20,sports-watch710,
,1831,[20],[],1593,True,0.81,1.0,20,sports-watch847,
,149,[20],[],1831,True,0.81,1.0,20,sports-watch441,
,1648,[20],[],1329,True,0.7290000000000001,1.5,20,sports-watch440,
,395,[20],[],149,True,0.7290000000000001,1.5,20,sports-watch358,
,1097,[20],[],395,True,0.81,1.0,20,sports-watch451,
,1709,[20],[],395,True,0.7290000000000001,1.5,20,sports-watch210,
,136,[4],"[279, 958, 1161, 1842, 2588, 1446, 2154, 2354]",20,True,0.81,1.0,4,sports-watch470,
,279,[136],[],136,True,0.7290000000000001,1.5,136,sports-watch646,
,958,[136],[],279,True,0.7290000000000001,1.5,136,sports-watch83,
,1161,[136],[],958,True,0.81,1.0,136,sports-watch670,
,1842,[136],[],1161,True,0.81,1.0,136,sports-watch450,
,2588,[136],[],1842,True,0.81,1.0,136,sports-watch242,
,1446,[136],[],2588,True,0.7290000000000001,1.5,136,sports-watch579,
,2154,[136],[],1161,True,0.81,1.0,136,sports-watch587,
,2354,[136],[],1446,True,0.81,1.0,136,sports-watch798,
,221,[4],"[1126, 1222, 1344, 1456, 2066, 1098, 1027, 1031, 533, 1076]",136,True,0.81,1.0,4,sports-watch479,
,1126,[221],[],20,True,0.81,1.0,221,sports-watch421,
,1222,[221],[],1126,True,0.81,1.0,221,sports-watch702,
,1344,[221],[],1126,True,0.81,1.0,221,sports-watch179,
,1456,[221],[],1344,True,0.81,1.0,221,sports-watch576,
,2066,[221],[],1344,True,0.81,1.0,221,sports-watch148,
,1098,[221],[],1456,True,0.7290000000000001,1.5,221,sports-watch567,
,1027,[221],[],1344,True,0.81,1.0,221,sports-watch650,
,1031,[221],[],1456,True,0.81,1.0,221,sports-watch323,
,533,[221],[],1031,True,0.7290000000000001,1.5,221,sports-watch308,
,1076,[221],[],1098,True,0.7290000000000001,1.5,221,sports-watch384,
,271,[4],"[499, 1003, 1417, 2385, 1442, 723]",20,True,0.81,1.0,4,sports-watch422,
,499,[271],[],20,True,0.7290000000000001,1.5,271,sports-watch545,
,1003,[271],[],499,True,0.81,1.0,271,sports-watch29,
,1417,[271],[],1003,True,0.81,1.0,271,sports-watch262,
,2385,[271],[],1003,True,0.81,1.0,271,sports-watch190,
,1442,[271],[],1003,True,0.7290000000000001,1.5,271,sports-watch204,
,723,[271],[],2385,True,0.81,1.0,271,sports-watch395,
,423,[4],"[666, 1218, 1407, 1958, 2500, 546, 2013]",136,True,0.81,1.0,4,sports-watch681,
,666,[423],[],221,True,0.7290000000000001,1.5,423,sports-watch569,
,1218,[423],[],666,True,0.7290000000000001,1.5,423,sports-watch137,
,1407,[423],[],666,True,0.81,1.0,423,sports-watch86,
,1958,[423],[],666,True,0.7290000000000001,1.5,423,sports-watch583,
,2500,[423],[],1407,True,0.81,1.0,423,sports-watch741,
,546,[423],[],2500,True,0.7290000000000001,1.5,423,sports-watch94,
,2013,[423],[],666,True,0.81,1.0,423,sports-watch177,
,467,[4],"[1740, 2083, 433, 1489, 928, 1625]",136,True,0.81,1.0,4,sports-watch133,
,1740,[467],[],271,True,0.7290000000000001,1.5,467,sports-watch523,
,2083,[467],[],1740,True,0.7290000000000001,1.5,467,sports-watch510,
,433,[467],[],2083,True,0.7290000000000001,1.5,467,sports-watch42,
,1489,[467],[],1740,True,0.81,1.0,467,sports-watch317,
,928,[467],[],433,True,0.7290000000000001,1.5,467,sports-watch773,
,1625,[467],[],1489,True,0.81,1.0,467,sports-watch830,
,516,[4],"[570, 1148, 1303, 135, 2160, 2213, 615, 2483, 594]",20,True,0.81,1.0,4,sports-watch176,
,570,[516],[],516,True,0.7290000000000001,1.5,516,sports-watch216,
,1148,[516],[],570,True,0.81,1.0,516,sports-watch100,
,1303,[516],[],570,True,0.81,1.0,516,sports-watch605,
,135,[516],[],1148,True,0.7290000000000001,1.5,516,sports-watch45,
,2160,[516],[],1303,True,0.81,1.0,516,sports-watch458,
,2213,[516],[],2160,True,0.81,1.0,516,sports-watch117,
,615,[516],[],2213,True,0.81,1.0,516,sports-watch37,
,2483,[516],[],2213,True,0.81,1.0,516,sports-watch680,
,594,[516],[],570,True,0.81,1.0,516,sports-watch350,
,535,[4],"[2186, 2564, 828, 858]",20,True,0.81,1.0,4,sports-watch869,
,2186,[535],[],423,True,0.7290000000000001,1.5,535,sports-watch714,
,2564,[535],[],2186,True,0.81,1.0,535,kaden-channel375,
,828,[535],[],2564,True,0.7290000000000001,1.5,535,sports-watch895,
,858,[535],[],828,True,0.7290000000000001,1.5,535,sports-watch119,
,601,[4],"[1175, 1444, 2061, 2427, 2505, 1078, 2554, 2572, 1226]",136,True,0.81,1.0,4,sports-watch355,
,1175,[601],[],136,True,0.81,1.0,601,sports-watch285,
,1444,[601],[],1175,True,0.81,1.0,601,sports-watch402,
,2061,[601],[],1444,True,0.81,1.0,601,sports-watch706,
,2427,[601],[],2061,True,0.7290000000000001,1.5,601,sports-watch821,
,2505,[601],[],1444,True,0.81,1.0,601,sports-watch427,
,1078,[601],[],2505,True,0.7290000000000001,1.5,601,sports-watch490,
,2554,[601],[],1078,True,0.81,1.0,601,sports-watch748,
,2572,[601],[],1078,True,0.7290000000000001,1.5,601,sports-watch248,
,1226,[601],[],2427,True,0.7290000000000001,1.5,601,sports-watch101,
,912,[4],"[1102, 1682, 1707, 2426, 796, 1232, 2330, 278]",136,True,0.81,1.0,4,sports-watch503,
,1102,[912],[],221,True,0.81,1.0,912,sports-watch315,
,1682,[912],[],1102,True,0.81,1.0,912,sports-watch215,
,1707,[912],[],1102,True,0.7290000000000001,1.5,912,sports-watch192,
,2426,[912],[],1102,True,0.81,1.0,912,sports-watch580,
,796,[912],[],1102,True,0.81,1.0,912,sports-watch349,
,1232,[912],[],1707,True,0.7290000000000001,1.5,912,sports-watch570,
,2330,[912],[],1102,True,0.81,1.0,912,sports-watch231,
,278,[912],[],796,True,0.7290000000000001,1.5,912,sports-watch88,
,5,[1],"[28, 184, 199, 294, 298, 326, 404, 477, 517, 680]",2,True,0.81,1.0,1,sports-watch654,
,28,[5],"[694, 1324, 1924, 2196, 1408, 55]",5,True,0.81,1.0,5,sports-watch660,
,694,[28],[],517,True,0.81,1.0,28,sports-watch898,
,1324,[28],[],694,True,0.81,1.0,28,sports-watch99,
,1924,[28],[],1324,True,0.81,1.0,28,sports-watch394,
,2196,[28],[],694,True,0.81,1.0,28,sports-watch701,
,1408,[28],[],1324,True,0.81,1.0,28,sports-watch182,
,55,[28],[],1408,True,0.7290000000000001,1.5,28,sports-watch158,
,184,[5],"[749, 1285, 1588, 1968, 1690, 169, 2363, 1328]",28,True,0.81,1.0,5,movie-enter322,
,749,[184],[],326,True,0.81,1.0,184,sports-watch416,
,1285,[184],[],749,True,0.81,1.0,184,sports-watch682,
,1588,[184],[],749,True,0.81,1.0,184,sports-watch803,
,1968,[184],[],749,True,0.81,1.0,184,sports-watch226,
,1690,[184],[],749,True,0.81,1.0,184,sports-watch823,
,169,[184],[],749,True,0.7290000000000001,1.5,184,sports-watch294,
,2363,[184],[],749,True,0.81,1.0,184,sports-watch641,
,1328,[184],[],749,True,0.81,1.0,184,sports-watch413,
,199,[5],"[2266, 344]",28,True,0.81,1.0,5,sports-watch511,
,2266,[199],[],199,True,0.81,1.0,199,sports-watch868,
,344,[199],[],2266,True,0.81,1.0,199,sports-watch785,
,294,[5],"[736, 819, 2475]",28,True,0.81,1.0,5,sports-watch722,
,736,[294],[],199,True,0.81,1.0,294,sports-watch334,
,819,[294],[],736,True,0.81,1.0,294,sports-watch251,
,2475,[294],[32],819,True,0.81,1.0,294,sports-watch499,
,32,[2475],[],819,True,0.7290000000000001,1.5,2475,sports-watch287,
,298,[5],"[1037, 1069, 2227, 438, 2015, 2481, 446]",28,True,0.81,1.0,5,sports-watch656,
,1037,[298],[],404,True,0.81,1.0,298,sports-watch684,
,1069,[298],[],1037,True,0.81,1.0,298,sports-watch766,
,2227,[298],[],1037,True,0.81,1.0,298,sports-watch482,
,438,[298],[],1069,True,0.81,1.0,298,sports-watch187,
,2015,[298],[],438,True,0.81,1.0,298,sports-watch110,
,2481,[298],[],438,True,0.81,1.0,298,sports-watch667,
,446,[298],[],2015,True,0.81,1.0,298,sports-watch475,
,326,[5],"[925, 1216, 1488, 1720, 1882, 2292, 2425, 2307]",28,True,0.81,1.0,5,sports-watch314,
,925,[326],[],477,True,0.81,1.0,326,sports-watch620,
,1216,[326],[],925,True,0.81,1.0,326,sports-watch485,
,1488,[326],[],1216,True,0.81,1.0,326,kaden-channel619,
,1720,[326],[],1216,True,0.81,1.0,326,sports-watch72,
,1882,[326],[],1216,True,0.81,1.0,326,sports-watch420,
,2292,[326],[],1882,True,0.81,1.0,326,sports-watch575,
,2425,[326],[],1882,True,0.81,1.0,326,sports-watch142,
,2307,[326],[],925,True,0.7290000000000001,1.5,326,sports-watch897,
,404,[5],"[843, 2164, 2239, 1524]",326,True,0.81,1.0,5,sports-watch718,
,843,[404],[],404,True,0.81,1.0,404,sports-watch827,
,2164,[404],[],843,True,0.81,1.0,404,sports-watch566,
,2239,[404],[],843,True,0.81,1.0,404,sports-watch744,
,1524,[404],[],843,True,0.81,1.0,404,sports-watch815,
,477,[5],"[752, 2221, 2369, 1024]",28,True,0.81,1.0,5,sports-watch104,
,752,[477],[],404,True,0.81,1.0,477,sports-watch486,
,2221,[477],[],752,True,0.81,1.0,477,sports-watch436,
,2369,[477],[],2221,True,0.81,1.0,477,sports-watch98,
,1024,[477],[],752,True,0.81,1.0,477,sports-watch136,
,517,[5],[707],294,True,0.81,1.0,5,sports-watch127,
,707,[517],[],477,True,0.81,1.0,517,sports-watch41,
,680,[5],"[1876, 1935, 2044, 1094, 1527, 1651]",404,True,0.81,1.0,5,sports-watch497,
,1876,[680],[],184,True,0.81,1.0,680,sports-watch559,
,1935,[680],[],1876,True,0.81,1.0,680,sports-watch96,
,2044,[680],[],1935,True,0.81,1.0,680,sports-watch103,
,1094,[680],[],1876,True,0.81,1.0,680,sports-watch778,
,1527,[680],[],2044,True,0.81,1.0,680,sports-watch791,
,1651,[680],[],1935,True,0.81,1.0,680,sports-watch686,
,6,[1],"[823, 1116, 1182, 1430, 1748, 1765, 1790, 1956, 2592, 113]",3,True,0.81,1.0,1,kaden-channel475,
,823,[6],"[1095, 1259, 2555, 490, 774]",8,True,0.81,1.0,6,sports-watch515,
,1095,[823],[],823,True,0.7290000000000001,1.5,823,sports-watch737,
,1259,[823],[],1095,True,0.7290000000000001,1.5,823,sports-watch62,
,2555,[823],[],1259,True,0.7290000000000001,1.5,823,sports-watch812,
,490,[823],[],2555,True,0.7290000000000001,1.5,823,sports-watch617,
,774,[823],[],2555,True,0.7290000000000001,1.5,823,sports-watch852,
,1116,[6],"[1307, 2104, 507, 667, 742, 800, 2609, 1800]",823,True,0.81,1.0,6,sports-watch716,
,1307,[1116],[],1182,True,0.7290000000000001,1.5,1116,sports-watch514,
,2104,[1116],[],1307,True,0.7290000000000001,1.5,1116,sports-watch571,
,507,[1116],[],1307,True,0.7290000000000001,1.5,1116,sports-watch487,
,667,[1116],[],507,True,0.7290000000000001,1.5,1116,sports-watch363,
,742,[1116],[],507,True,0.7290000000000001,1.5,1116,sports-watch341,
,800,[1116],[],667,True,0.7290000000000001,1.5,1116,sports-watch342,
,2609,[1116],[],742,True,0.7290000000000001,1.5,1116,sports-watch831,
,1800,[1116],[],667,True,0.7290000000000001,1.5,1116,sports-watch24,
,1182,[6],"[1262, 1319, 1361, 726, 2594]",1116,True,0.81,1.0,6,sports-watch59,
,1262,[1182],[],1182,True,0.7290000000000001,1.5,1182,sports-watch888,
,1319,[1182],[],1262,True,0.7290000000000001,1.5,1182,sports-watch556,
,1361,[1182],[],1262,True,0.7290000000000001,1.5,1182,sports-watch674,
,726,[1182],[],1262,True,0.7290000000000001,1.5,1182,sports-watch453,
,2594,[1182],[],1319,True,0.81,1.0,1182,sports-watch403,
,1430,[6],"[2418, 129, 368, 1227, 1346, 1923]",1116,True,0.81,1.0,6,sports-watch196,
,2418,[1430],[],1956,True,0.7290000000000001,1.5,1430,sports-watch151,
,129,[1430],[],2418,True,0.7290000000000001,1.5,1430,sports-watch782,
,368,[1430],[],129,True,0.7290000000000001,1.5,1430,sports-watch806,
,1227,[1430],[],129,True,0.81,1.0,1430,sports-watch90,
,1346,[1430],[],1227,True,0.7290000000000001,1.5,1430,sports-watch169,
,1923,[1430],[],1227,True,0.81,1.0,1430,sports-watch890,
,1748,[6],"[1858, 1930, 2189, 2223, 299, 1425, 2623]",1116,True,0.81,1.0,6,sports-watch828,
,1858,[1748],[],1430,True,0.7290000000000001,1.5,1748,sports-watch263,
,1930,[1748],[],1858,True,0.7290000000000001,1.5,1748,sports-watch435,
,2189,[1748],[],1930,True,0.7290000000000001,1.5,1748,sports-watch404,
,2223,[1748],[],1930,True,0.7290000000000001,1.5,1748,sports-watch507,
,299,[1748],[],2223,True,0.7290000000000001,1.5,1748,sports-watch796,
,1425,[1748],[],1930,True,0.7290000000000001,1.5,1748,sports-watch386,
,2623,[1748],[],2223,True,0.7290000000000001,1.5,1748,sports-watch553,
,1765,[6],"[2541, 1600, 962, 1534]",1182,True,0.81,1.0,6,sports-watch428,
,2541,[1765],[],1182,True,0.7290000000000001,1.5,1765,sports-watch797,
,1600,[1765],[],2541,True,0.7290000000000001,1.5,1765,sports-watch876,
,962,[1765],[],1600,True,0.7290000000000001,1.5,1765,sports-watch867,
,1534,[1765],[],1600,True,0.7290000000000001,1.5,1765,sports-watch519,
,1790,[6],"[348, 452, 1998, 1582, 1934]",1116,True,0.81,1.0,6,kaden-channel631,
,348,[1790],[],1430,True,0.7290000000000001,1.5,1790,sports-watch275,
,452,[1790],[],348,True,0.7290000000000001,1.5,1790,sports-watch244,
,1998,[1790],[],348,True,0.81,1.0,1790,sports-watch525,
,1582,[1790],[],1998,True,0.81,1.0,1790,sports-watch114,
,1934,[1790],[],1582,True,0.7290000000000001,1.5,1790,sports-watch875,
,1956,[6],"[2014, 2241, 2461, 2494, 392, 1947, 2610, 125]",1430,True,0.81,1.0,6,sports-watch322,
,2014,[1956],[],1765,True,0.7290000000000001,1.5,1956,sports-watch873,
,2241,[1956],[],2014,True,0.7290000000000001,1.5,1956,sports-watch112,
,2461,[1956],[],2014,True,0.7290000000000001,1.5,1956,sports-watch599,
